# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 22.761
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page - canopy normal data
t,V,vN,vE,vD,cnN,cnE,cnD,qbar,rho
34.6,9.88,6.21,-6.83,3.51,0.037,0.114,-2.998,48.8,0.9998
34.8,9.70,6.18,-6.69,3.35,-0.006,0.097,-2.998,47.1,0.9998
35.0,9.53,6.11,-6.56,3.23,-0.071,0.057,-2.999,45.4,0.9999
35.2,9.37,5.99,-6.48,3.17,-0.164,-0.007,-2.996,43.9,1.0000
35.4,9.25,5.80,-6.46,3.18,-0.275,-0.092,-2.986,42.8,1.0000
35.6,9.13,5.54,-6.49,3.24,-0.393,-0.175,-2.969,41.7,1.0001
35.8,9.04,5.21,-6.58,3.36,-0.498,-0.247,-2.948,40.9,1.0002
36.0,8.98,4.83,-6.69,3.53,-0.576,-0.305,-2.928,40.3,1.0002
36.2,8.97,4.43,-6.84,3.74,-0.625,-0.351,-2.913,40.2,1.0003
36.4,8.99,4.01,-7.01,3.96,-0.637,-0.378,-2.907,40.5,1.0004
36.6,9.06,3.60,-7.18,4.19,-0.612,-0.387,-2.911,41.1,1.0005
36.8,9.15,3.21,-7.35,4.39,-0.557,-0.387,-2.922,41.8,1.0006
37.0,9.23,2.86,-7.52,4.51,-0.495,-0.377,-2.935,42.6,1.0007
37.2,9.31,2.55,-7.70,4.57,-0.441,-0.354,-2.946,43.4,1.0008
37.4,9.39,2.27,-7.86,4.61,-0.403,-0.315,-2.956,44.2,1.0009
37.6,9.45,2.01,-7.97,4.66,-0.379,-0.271,-2.964,44.7,1.0009
37.8,9.51,1.76,-8.05,4.74,-0.368,-0.241,-2.968,45.2,1.0010
38.0,9.57,1.53,-8.12,4.83,-0.370,-0.226,-2.969,45.8,1.0011
38.2,9.63,1.29,-8.19,4.89,-0.359,-0.190,-2.972,46.4,1.0012
38.4,9.66,1.03,-8.25,4.92,-0.326,-0.136,-2.979,46.8,1.0013
38.6,9.59,0.82,-8.23,4.86,-0.260,-0.080,-2.988,46.1,1.0014
38.8,9.47,0.66,-8.18,4.73,-0.180,-0.028,-2.994,45.0,1.0015
39.0,9.35,0.56,-8.14,4.57,-0.093,0.004,-2.999,43.8,1.0016
39.2,9.18,0.51,-8.04,4.39,0.001,0.034,-3.000,42.2,1.0017
39.4,9.02,0.55,-7.94,4.24,0.098,0.052,-2.998,40.7,1.0018
39.6,8.85,0.65,-7.83,4.07,0.187,0.052,-2.994,39.2,1.0019
39.8,8.71,0.82,-7.74,3.90,0.239,0.056,-2.990,38.0,1.0020
40.0,8.58,1.00,-7.65,3.76,0.249,0.070,-2.989,36.9,1.0021
40.2,8.45,1.17,-7.53,3.66,0.210,0.090,-2.991,35.8,1.0021
40.4,8.31,1.29,-7.40,3.58,0.125,0.104,-2.996,34.6,1.0022
40.6,8.20,1.34,-7.27,3.54,-0.009,0.097,-2.998,33.7,1.0023
40.8,8.09,1.29,-7.16,3.54,-0.186,0.092,-2.993,32.8,1.0024
41.0,7.99,1.09,-7.06,3.58,-0.388,0.115,-2.973,32.0,1.0024
41.2,7.88,0.77,-6.94,3.65,-0.603,0.145,-2.935,31.1,1.0025
41.4,7.74,0.33,-6.76,3.76,-0.809,0.171,-2.884,30.0,1.0026
41.6,7.70,-0.25,-6.61,3.94,-1.012,0.190,-2.818,29.7,1.0027
41.8,7.76,-0.91,-6.46,4.20,-1.188,0.212,-2.746,30.2,1.0027
42.0,7.92,-1.68,-6.28,4.52,-1.317,0.254,-2.684,31.5,1.0028
42.2,8.18,-2.48,-6.06,4.89,-1.395,0.310,-2.638,33.5,1.0029
42.4,8.52,-3.32,-5.83,5.24,-1.422,0.374,-2.615,36.4,1.0030
42.6,8.89,-4.18,-5.54,5.56,-1.414,0.462,-2.605,39.7,1.0031
42.8,9.27,-5.05,-5.17,5.81,-1.380,0.583,-2.599,43.1,1.0032
43.0,9.63,-5.92,-4.70,5.96,-1.322,0.723,-2.594,46.5,1.0033
43.2,9.98,-6.77,-4.11,6.07,-1.241,0.873,-2.588,50.0,1.0035
43.4,10.32,-7.55,-3.41,6.17,-1.143,1.020,-2.580,53.5,1.0036
43.6,10.67,-8.23,-2.61,6.26,-1.032,1.160,-2.567,57.1,1.0037
43.8,11.02,-8.83,-1.73,6.37,-0.918,1.300,-2.543,61.0,1.0038
44.0,11.41,-9.33,-0.78,6.53,-0.818,1.423,-2.511,65.4,1.0039
44.2,11.83,-9.74,0.27,6.70,-0.725,1.511,-2.488,70.2,1.0041
44.4,12.32,-10.12,1.34,6.89,-0.649,1.558,-2.480,76.2,1.0042
44.6,12.82,-10.40,2.37,7.10,-0.580,1.552,-2.501,82.5,1.0043
44.8,13.35,-10.64,3.40,7.31,-0.519,1.498,-2.547,89.5,1.0045
45.0,13.85,-10.82,4.32,7.49,-0.481,1.381,-2.619,96.4,1.0046
45.2,14.32,-10.99,5.13,7.61,-0.459,1.201,-2.711,103.0,1.0048
45.4,14.69,-11.13,5.79,7.64,-0.463,0.969,-2.801,108.5,1.0049
45.6,14.99,-11.29,6.29,7.60,-0.480,0.710,-2.875,112.9,1.0051
45.8,15.20,-11.46,6.56,7.52,-0.486,0.429,-2.929,116.1,1.0052
46.0,15.36,-11.64,6.66,7.50,-0.471,0.099,-2.961,118.6,1.0054
46.2,15.39,-11.74,6.54,7.51,-0.440,-0.262,-2.956,119.1,1.0055
46.4,15.32,-11.82,6.14,7.57,-0.398,-0.644,-2.903,118.0,1.0057
46.6,15.25,-11.89,5.56,7.76,-0.364,-0.986,-2.810,117.0,1.0058
