# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 2
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page with wind correction
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: wingsuit
# polar: a5segments
# beta_source: lateral_force_equilibrium
t,V,alpha,beta,gamma,phi,theta,theta_corr,psi,psi_corr,p,q,r,p_corr,q_corr,r_corr,CL,CD,qbar,rho
18.20,60.03,2.08,-1.6224,-24.39,35.18,-22.69,-21.76,209.1,207.7,-27.85,-0.65,4.16,-27.92,-1.44,4.62,0.232596,0.109196,1674.9,0.9295
18.40,59.95,1.48,-1.4506,-24.56,28.48,-23.27,-22.57,209.6,208.2,-35.86,-0.86,3.24,-35.66,-1.79,4.37,0.215079,0.106296,1671.3,0.9300
18.60,59.83,1.21,-1.1115,-24.74,20.42,-23.61,-23.22,210.1,209.0,-39.05,-0.19,2.15,-38.41,-0.92,4.12,0.207896,0.104678,1665.4,0.9304
18.80,59.77,1.21,-0.6969,-24.82,12.51,-23.64,-23.49,210.5,209.8,-36.77,0.65,1.03,-35.98,0.16,3.02,0.207936,0.104389,1662.7,0.9309
19.00,59.71,1.34,-0.3050,-24.78,5.51,-23.44,-23.42,210.6,210.3,-32.72,0.97,0.06,-32.00,0.76,1.72,0.212274,0.104013,1660.1,0.9314
19.20,59.64,1.48,0.0328,-24.73,-0.60,-23.26,-23.25,210.5,210.5,-28.67,1.18,-0.78,-27.96,1.19,0.85,0.216922,0.105122,1657.2,0.9319
19.40,59.55,1.68,0.3095,-24.64,-5.82,-22.97,-22.94,210.3,210.6,-25.02,1.60,-1.57,-24.46,1.69,-0.22,0.221685,0.105822,1652.9,0.9324
19.60,59.46,1.88,0.5323,-24.53,-10.32,-22.68,-22.59,209.8,210.4,-21.15,1.91,-2.20,-20.78,2.07,-1.29,0.227707,0.106727,1648.8,0.9328
19.80,59.38,2.08,0.6910,-24.40,-13.86,-22.38,-22.22,209.2,209.9,-18.40,2.39,-2.72,-18.14,2.59,-2.04,0.233143,0.106509,1645.2,0.9333
20.00,59.26,2.35,0.8195,-24.26,-17.15,-22.02,-21.77,208.4,209.2,-18.25,3.17,-3.16,-18.04,3.40,-2.59,0.240339,0.108551,1639.6,0.9337
20.20,59.18,2.75,0.9230,-24.12,-20.52,-21.54,-21.22,207.5,208.4,-18.49,4.36,-3.73,-18.38,4.65,-3.44,0.251061,0.112373,1635.9,0.9342
20.40,59.00,3.29,0.9838,-23.92,-23.75,-20.91,-20.51,206.2,207.2,-18.23,5.93,-4.44,-18.22,6.25,-4.38,0.267090,0.117069,1626.9,0.9347
20.60,58.79,3.96,0.9916,-23.62,-26.83,-20.09,-19.64,204.7,205.6,-16.06,6.92,-4.82,-16.02,7.10,-4.78,0.286300,0.123012,1616.0,0.9351
20.80,58.54,4.50,0.9609,-23.24,-29.09,-19.31,-18.84,203.1,204.0,-12.75,7.25,-5.14,-12.77,7.44,-5.39,0.304021,0.125964,1603.3,0.9356
